"Reference","Qty","Value","Footprint","DigiKey"
"C1","1","470uF","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","732-9156-1-ND"
"C2,C3,C10,C79","4","22uF","Capacitor_THT:CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal","1572-1393-ND"
"C4,C13,C16,C18,C26,C27,C28,C29,C30,C31,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C51,C58,C61,C62,C68,C69,C70,C93,C101,C103,C105,C113,C114,C115,C116,C117,C118,C119,C120,C200,C201","41","100nF","Library:C_Axial_L3.8mm_D2.6mm_P8.89mm_Horizontal,Library:C_Axial_L5.1mm_D2.7mm_P12.72mm_Horizontal","1109PHCT-ND"
"C5,C6,C8,C9,C12,C14,C15,C21,C45,C46,C47,C48,C63,C64,C65,C66,C71,C72,C73,C74,C75,C76,C77,C78,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C96,C97,C102,C112","41","1nF","Library:C_Axial_L5.1mm_D2.7mm_P12.72mm_Horizontal","1216PHCT-ND"
"C7,C11,C94,C95","4","10nF","Library:C_Axial_L5.1mm_D2.7mm_P12.72mm_Horizontal","1103PHCT-ND"
"C17,C23","2","47nF","Library:C_Axial_L5.1mm_D2.7mm_P12.72mm_Horizontal","1107PHCT-ND"
"C19,C20,C22","3","4u7^{*}","Library:CE_NP_Radial_D8.0mm_P2.50mm","475BPS100M-ND"
"C24,C98","2","10uF","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal,Capacitor_THT:CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal","1572-1035-1-ND"
"C25","1","150pF","Library:C_Axial_L5.1mm_D2.7mm_P12.72mm_Horizontal","399-4456-1-ND"
"C32","1","18pF","Library:C_Axial_L5.1mm_D2.7mm_P12.72mm_Horizontal","1013PHCT-ND"
"C33","1","10pF","Library:C_Axial_L5.1mm_D2.7mm_P12.72mm_Horizontal","1011PHCT-ND"
"C44","1","68pF","Library:C_Axial_L5.1mm_D2.7mm_P12.72mm_Horizontal","1018PHCT-ND"
"C50","1","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","399-18269-1-ND"
"C59","1","22pF","Library:C_Axial_L5.1mm_D2.7mm_P12.72mm_Horizontal","1014PHCT-ND"
"C60","1","56pF","Library:C_Axial_L5.1mm_D2.7mm_P12.72mm_Horizontal","399-C410C510FAG5TA-ND"
"C111","1","820pF","Library:C_Axial_L5.1mm_D2.7mm_P12.72mm_Horizontal","399-C410C821K1R5TA-ND"
"C204,C205","2","1uF","Library:C_Axial_L5.1mm_D2.7mm_P12.72mm_Horizontal","399-C410C105K5R5TA7200CT-ND"
"C206","1","27pF","Library:C_Axial_L5.1mm_D2.7mm_P12.72mm_Horizontal","1015PHCT-ND"
"CR2,CR3,CR4,CR5","4","1N4148","Diode_THT:D_DO-35_SOD27_P12.70mm_Horizontal","1N4148FS-ND"
"L1,L2,L3,L5,L7,L9,L10,L11,L12,L23,L30,L31,L37,L102","14","FB,FB or 470R","Inductor_THT:L_Axial_L7.0mm_D3.3mm_P12.70mm_Horizontal_Fastron_MICC,Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","1934-1310-ND"
"L6,L32,L103","3","100uH","Inductor_THT:L_Axial_L7.0mm_D3.3mm_P12.70mm_Horizontal_Fastron_MICC","595-SFAPI-101K-UL-TRCT-ND"
"L14","1","22uH","Inductor_THT:L_Axial_L7.0mm_D3.3mm_P12.70mm_Horizontal_Fastron_MICC","541-IRF24ER220JCT-ND"
"L15,L16,L17,L18,L19,L20,L21,L22,L25,L26,L27,L28,L29","13","10uH","Inductor_THT:L_Axial_L7.0mm_D3.3mm_P12.70mm_Horizontal_Fastron_MICC","535-AICC-02-100K-TCT-ND"
"Q1,Q2,Q3,Q4,Q5,Q6","6","2N3904","Library:TO-92L_Inline_Wide","4878-2N3904CT-ND"
"Q7","1","MPSA55","Library:TO-92L_Inline_Wide","PN2907ABUFS-ND"
"R1","1","22k","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT22K0CT-ND"
"R2,R7,R52","3","2k","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT2K00CT-ND"
"R3","1","6k2","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT6K20CT-ND"
"R4,R39","2","56k","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT56K0CT-ND"
"R5,R200","2","470k","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","S470KQCT-ND"
"R6","1","68k","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT68K0CT-ND"
"R8","1","5k1","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT5K10CT-ND"
"R9,R23,R24,R25,R203,R206","6","3k3","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT3K30CT-ND"
"R10,R70","2","10k","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT10K0CT-ND"
"R11,R26","2","2k2","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT2K20CT-ND"
"R12,R15,R19,R20,R21,R22,R30,R31,R33,R74,R75,R85,R86,R87,R88","15","3k","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT3K00CT-ND"
"R13,R14,R34,R37,R41,R42,R43,R44,R45,R72,R73,R80","12","1k","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT1K00CT-ND"
"R18,R27,R95,R120,R121,R122,R123,R124,R125,R126,R127,R132,R133,R134,R135,R136","16","220R","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT220RCT-ND"
"R28","1","910k","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT910KCT-ND"
"R29","1","1M","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT1M00CT-ND"
"R35","1","33k","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT33K0CT-ND"
"R36","1","680R","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT680RCT-ND"
"R38","1","500k","Library:Potentiometer_Bourns_3352E_Vertical","3352E-504LF-ND"
"R40,R53,R90,R117,R118,R119,R128,R129,R130,R131","10","100R","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT100RCT-ND"
"R46","1","1k6","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT1K60CT-ND"
"R47","1","36k","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT36K0CT-ND"
"R48","1","18k","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT18K0CT-ND"
"R49","1","9K1","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT9K10CT-ND"
"R50,R81,R82,R83,R84,R92,R93,R94","8","4k7","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT4K70CT-ND"
"R51","1","750R","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT750RCT-ND"
"R69,R201","2","6k8","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT6K80CT-ND"
"R71","1","470R","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT470RCT-ND"
"R76,R77,R78,R79","4","1k8","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT1K80CT-ND"
"R89,R96","2","47k","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","S47KQCT-ND"
"R91","1","2k7","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT2K70CT-ND"
"R110,R111","2","33R","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT33R0CT-ND"
"R116","1","51R","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT51R0CT-ND"
"R137,R138,R139,R140,R141,R142,R143,R144,R145,R146,R147,R148,R149,R150,R151,R152,R153","17","270R","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT270RCT-ND"
"R202","1","180R","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT180RCT-ND"
"R204","1","47R","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT47R0CT-ND"
"R205","1","150R","Library:R_Axial_L9.0mm_D2.7mm_P12.70mm_Horizontal","CF14JT150RCT-ND"
"U1","1","LM358","Package_DIP:DIP-8_W7.62mm","296-1395-5-ND"
"U2","1","74LS138","Package_DIP:DIP-16_W7.62mm","296-1639-5-ND"
"U18","1","74LS08","Package_DIP:DIP-14_W7.62mm","296-1633-5-ND"
"U19","1","NE555P","Package_DIP:DIP-8_W7.62mm","296-NE555P-ND"
"U20","1","4050","Package_DIP:DIP-16_W7.62mm","296-2056-ND"
"U21","1","74LS74","Package_DIP:DIP-14_W7.62mm","296-1668-5-ND"
"U24,U25","2","4051","Package_DIP:DIP-16_W7.62mm","296-2057-5-ND"
"Y2","1","4.33618MHz","Crystal:Crystal_HC49-U_Horizontal","X1013-ND"
"YA1","1","See Note","Crystal:Crystal_HC49-U_Horizontal","535-AB-14.31818MHZ-B2CT-ND"
"YB1","1","See Note","Oscillator:Oscillator_DIP-14","X946-ND"
